level,lesson,section,skill,activity type,item type,text type,question type -,question name,passage text,passage text editor comments,passage audio,passage image description,question text,question text editor comments,question audio,question image description,question rubric,answer 1,answer 1 feedback,answer 1 audio,answer 1 image description,answer 2,answer 2 feedback,answer 2 audio,answer 2 image description,answer 3,answer 3 feedback,answer 3 audio,answer 3 image description,answer 4,answer 4 feedback,answer 4 audio,answer 4 image description,answer editor comments,references
EC1,2,class,reading,1,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,3,extra mile,writing,2,,sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,story,speaking,3,,paragraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,self check,listening,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,pronunciation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,grammar,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
